iter	Passed	Remaining
598	48032	112342
599	48121	112282
600	48210	112223
601	48305	112177
602	48397	112125
603	48496	112088
604	48611	112088
605	48703	112035
606	48788	111964
607	48870	111886
608	48951	111807
609	49045	111759
610	49135	111701
611	49231	111654
612	49315	111582
613	49411	111537
614	49484	111440
615	49571	111375
616	49690	111380
617	49805	111377
618	49902	111333
619	49990	111268
620	50073	111193
621	50150	111105
622	50229	111021
623	50321	110965
624	50412	110908
625	50494	110830
626	50569	110737
627	50638	110630
628	50716	110543
629	50812	110497
630	50887	110404
631	50974	110338
632	51064	110277
633	51143	110191
634	51223	110109
635	51296	110012
636	51363	109902
637	51443	109821
638	51525	109743
639	51622	109698
640	51712	109637
641	51802	109575
642	51884	109499
643	51959	109404
644	52035	109315
645	52131	109266
646	52225	109212
647	52323	109168
648	52421	109124
649	52508	109055
650	52587	108970
651	52680	108916
652	52773	108859
653	52876	108825
654	52975	108782
655	53069	108728
656	53166	108679
657	53244	108591
658	53316	108494
659	53405	108429
660	53491	108358
661	53594	108322
662	53694	108279
663	53779	108206
664	53874	108154
665	53969	108101
666	54060	108040
667	54158	107993
668	54265	107963
669	54358	107906
670	54440	107826
671	54532	107765
672	54622	107702
673	54713	107640
674	54787	107546
675	54869	107465
676	54973	107430
677	55055	107349
678	55136	107269
679	55233	107217
680	55323	107154
681	55416	107095
682	55499	107016
683	55589	106952
684	55689	106907
685	55783	106850
686	55875	106790
687	55971	106735
688	56062	106674
689	56216	106730
690	56313	106677
691	56398	106602
692	56474	106511
693	56557	106431
694	56643	106358
695	56719	106268
696	56796	106178
697	56866	106073
698	56945	105989
699	57034	105920
700	57122	105851
701	57208	105779
702	57283	105685
703	57382	105636
704	57477	105578
705	57578	105533
706	57671	105472
707	57764	105412
708	57844	105327
709	57939	105269
710	58041	105224
711	58129	105156
712	58231	105111
713	58313	105029
714	58400	104957
715	58473	104860
716	58551	104772
717	58635	104694
718	58725	104627
719	58816	104563
720	58912	104506
721	58997	104431
722	59076	104344
723	59153	104254
724	59233	104169
725	59302	104064
726	59396	104005
727	59490	103945
728	59573	103864
729	59654	103782
730	59734	103697
731	59806	103599
732	59884	103510
733	59960	103419
734	60030	103318
735	60103	103220
736	60186	103141
737	60255	103039
738	60336	102956
739	60405	102853
740	60480	102760
741	60558	102672
742	60635	102581
743	60706	102483
744	60784	102395
745	60850	102288
746	60924	102194
747	61000	102102
748	61081	102020
749	61171	101951
750	61245	101857
751	61317	101760
752	61395	101673
753	61462	101568
754	61533	101469
755	61606	101373
756	61685	101288
757	61758	101192
758	61836	101104
759	61910	101011
760	61989	100926
761	62062	100831
762	62137	100739
763	62212	100647
764	62296	100570
765	62384	100498
766	62469	100424
767	62556	100350
768	62639	100271
769	62717	100185
770	62783	100078
771	62857	99985
772	62928	99887
773	63005	99800
774	63096	99733
775	63182	99659
776	63265	99580
777	63346	99497
778	63434	99426
779	63518	99350
780	63597	99264
781	63668	99166
782	63743	99074
783	63831	99004
784	63907	98914
785	63992	98838
786	64077	98761
787	64159	98682
788	64241	98600
789	64329	98529
790	64421	98465
791	64509	98393
792	64602	98329
793	64673	98231
794	64754	98149
795	64846	98084
796	64934	98012
797	65013	97927
798	65083	97829
799	65158	97737
800	65318	97774
801	65395	97686
802	65477	97605
803	65546	97504
804	65627	97422
805	65704	97334
806	65791	97260
807	65874	97181
808	65954	97097
809	66035	97015
810	66116	96932
811	66196	96849
812	66279	96769
813	66370	96701
814	66450	96618
815	66534	96539
816	66606	96445
817	66690	96366
818	66774	96288
819	66857	96208
820	66933	96119
821	67011	96033
822	67086	95942
823	67168	95862
824	67256	95789
825	67344	95717
826	67429	95640
827	67513	95562
828	67584	95466
829	67663	95381
830	67753	95310
831	67838	95234
832	67922	95157
833	67997	95065
834	68079	94985
835	68164	94908
836	68243	94823
837	68321	94736
838	68415	94672
839	68495	94589
840	68566	94492
841	68642	94404
842	68719	94315
843	68800	94234
844	68884	94155
845	68967	94076
846	69049	93995
847	69134	93918
848	69209	93827
849	69283	93736
850	69355	93642
851	69433	93556
852	69510	93468
853	69592	93387
854	69668	93299
855	69754	93223
856	69846	93155
857	69921	93065
858	69999	92979
859	70077	92893
860	70151	92801
861	70228	92714
862	70310	92634
863	70394	92556
864	70476	92474
865	70563	92400
866	70651	92328
867	70728	92240
868	70799	92145
869	70879	92061
870	70947	91962
871	71022	91873
872	71096	91781
873	71171	91692
874	71265	91627
875	71337	91533
876	71409	91440
877	71486	91352
878	71548	91247
879	71627	91162
880	71703	91074
881	71775	90980
882	71849	90890
883	71924	90800
884	71997	90708
885	72078	90626
886	72147	90530
887	72235	90457
888	72318	90377
889	72396	90292
890	72478	90211
891	72560	90131
892	72653	90064
893	72822	90091
894	72910	90017
895	72988	89932
896	73061	89840
897	73147	89765
898	73230	89685
899	73319	89612
900	73408	89540
901	73485	89453
902	73577	89384
903	73660	89304
904	73750	89234
905	73832	89153
906	73911	89068
907	74043	89047
908	74167	89017
909	74300	88997
910	74454	89002
911	74563	88952
912	74661	88890
913	74744	88810
914	74833	88736
915	74916	88656
916	75004	88582
917	75121	88541
918	75200	88456
919	75280	88372
920	75366	88296
921	75455	88221
922	75552	88157
923	75664	88111
924	75776	88064
925	75868	87993
926	75954	87916
927	76033	87832
928	76112	87746
929	76277	87760
930	76380	87701
931	76467	87625
932	76549	87543
933	76628	87458
934	76718	87384
935	76801	87304
936	76885	87224
937	76969	87145
938	77044	87054
939	77162	87013
940	77255	86942
941	77344	86868
942	77432	86793
943	77518	86715
944	77652	86691
945	77792	86673
946	77911	86632
947	78007	86565
948	78110	86506
949	78205	86437
950	78283	86350
951	78371	86274
952	78459	86198
953	78562	86138
954	78692	86108
955	78796	86049
956	78897	85987
957	78986	85912
958	79063	85823
959	79147	85742
960	79242	85673
961	79357	85626
962	79505	85614
963	79608	85554
964	79692	85473
965	79787	85403
966	79879	85331
967	79998	85288
968	80090	85214
969	80193	85153
970	80300	85097
971	80433	85067
972	80530	84999
973	80627	84932
974	80721	84861
975	80820	84795
976	80928	84738
977	81034	84680
978	81134	84615
979	81230	84545
980	81308	84458
981	81398	84382
982	81493	84311
983	81591	84244
984	81677	84164
985	81760	84082
986	81849	84006
987	81937	83927
